"국가코드","국가명","시장코드","시장명","종목코드","원본단축코드","표준코드","한글종목명","영문종목명","통화"
"KR","한국","KOSPI","코스피","F70100030","F70100030","KR5701000303","한투한미핵심성장포커스1(A)",,"KRW"
"KR","한국","KOSPI","코스피","F70100031","F70100031","KR5701000311","한투한미핵심성장포커스1(A-e)",,"KRW"
"KR","한국","KOSPI","코스피","F70100032","F70100032","KR5701000329","한투한미핵심성장포커스2(A)",,"KRW"
"KR","한국","KOSPI","코스피","F70100033","F70100033","KR5701000337","한투한미핵심성장포커스2(A-e)",,"KRW"
"KR","한국","KOSPI","코스피","F70100034","F70100034","KR5701000345","한투한미넥스트혁신성장1(A)",,"KRW"
"KR","한국","KOSPI","코스피","F70100035","F70100035","KR5701000352","한투한미넥스트혁신성장1(A-e)",,"KRW"
"KR","한국","KOSPI","코스피","F70100036","F70100036","KR5701000360","한투한미넥스트혁신성장2(A)",,"KRW"
"KR","한국","KOSPI","코스피","F70100037","F70100037","KR5701000378","한투한미넥스트혁신성장2(A-e)",,"KRW"
"KR","한국","KOSPI","코스피","F70100038","F70100038","KR5701000386","한투AI혁신산업1(A-e)",,"KRW"
"KR","한국","KOSPI","코스피","F70100039","F70100039","KR5701000394","한투AI혁신산업2(A)",,"KRW"
"KR","한국","KOSPI","코스피","F70100040","F70100040","KR5701000402","한투AI혁신산업2(A-e)",,"KRW"
"KR","한국","KOSPI","코스피","F70100041","F70100041","KR5701000410","한투AI혁신산업1(A)",,"KRW"
"KR","한국","KOSPI","코스피","F70100042","F70100042","KR5701000428","한투한국핵심성장포커스1(A)",,"KRW"
"KR","한국","KOSPI","코스피","F70100043","F70100043","KR5701000436","한투한국핵심성장포커스1(A-e)",,"KRW"
"KR","한국","KOSPI","코스피","F70100044","F70100044","KR5701000444","한투한국핵심성장포커스2(A)",,"KRW"
"KR","한국","KOSPI","코스피","F70100045","F70100045","KR5701000451","한투한국핵심성장포커스2(A-e)",,"KRW"
"KR","한국","KOSPI","코스피","F70101B95","F70101B95","KR570101B954","밀라노부동산",,"KRW"
"KR","한국","KOSPI","코스피","F70101B96","F70101B96","KR570101B962","벨기에코어오피스2호",,"KRW"
"KR","한국","KOSPI","코스피","F70101B9A","F70101B9A","KR570101B9A2","한국투자뉴욕오피스1호",,"KRW"
"KR","한국","KOSPI","코스피","F70102B96","F70102B96","KR570102B960","룩셈부르크코어오피스(파생형)(A)",,"KRW"
"KR","한국","KOSPI","코스피","F70103B96","F70103B96","KR570103B968","룩셈부르크코어오피스(파생형)(C-I)",,"KRW"
"KR","한국","KOSPI","코스피","F70900001","F70900001","KR5709000016","대신하이일드공모주알파증권2호 A",,"KRW"
"KR","한국","KOSPI","코스피","F70900002","F70900002","KR5709000024","대신하이일드공모주알파증권2호 A-e",,"KRW"
"KR","한국","KOSPI","코스피","F71201B98","F71201B98","KR571201B985","키움히어로즈유럽오피스부동산1호 A",,"KRW"
"KR","한국","KOSPI","코스피","F71202B98","F71202B98","KR571202B983","키움히어로즈유럽오피스부동산1호 C-I",,"KRW"
"KR","한국","KOSPI","코스피","F71203B98","F71203B98","KR571203B981","키움히어로즈유럽오피스부동산2호 A",,"KRW"
"KR","한국","KOSPI","코스피","F71204B98","F71204B98","KR571204B989","키움히어로즈유럽오피스부동산2호 C-I",,"KRW"
"KR","한국","KOSPI","코스피","F71205B98","F71205B98","KR571205B986","키움히어로즈유럽오피스부동산3호 A",,"KRW"
"KR","한국","KOSPI","코스피","F71206B98","F71206B98","KR571206B984","키움히어로즈유럽오피스부동산3호 C-I",,"KRW"
"KR","한국","KOSPI","코스피","F71207B98","F71207B98","KR571207B982","키움히어로즈유럽오피스부동산4호 A",,"KRW"
